round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,hidden_activations,loss,optimizer,units
20,0.00900300219655037,0.09880000352859497,0.009001304395496845,0.10000000149011612,softmax,1000,relu,mse,adam,120
20,0.009002748876810074,0.09898000210523605,0.009002518840134144,0.10000000149011612,softmax,1000,relu,mse,adam,240
20,0.009899777360260487,3.9999998989515007e-05,0.009899777360260487,0.0,softmax,1000,relu,mse,adagrad,120
20,0.009900223463773727,0.00031999999191612005,0.009900223463773727,0.0005000000237487257,softmax,1000,relu,mse,adagrad,240
20,2.3050296306610107,0.1003199964761734,2.303525447845459,0.10000000149011612,softmax,1000,relu,categorical_crossentropy,adam,120
20,2.3049283027648926,0.09861999750137329,2.304414749145508,0.10000000149011612,softmax,1000,relu,categorical_crossentropy,adam,240
20,4.367419242858887,0.1021599993109703,4.358415603637695,0.10419999808073044,softmax,1000,relu,categorical_crossentropy,adagrad,120
20,4.372827529907227,0.10000000149011612,4.364675998687744,0.10000000149011612,softmax,1000,relu,categorical_crossentropy,adagrad,240
20,0.008294148370623589,0.254040002822876,0.008343905210494995,0.24210000038146973,softmax,1000,sigmoid,mse,adam,120
20,0.008358882740139961,0.24556000530719757,0.008424748666584492,0.2386000007390976,softmax,1000,sigmoid,mse,adam,240
20,0.00988913606852293,0.0,0.009889120236039162,0.0,softmax,1000,sigmoid,mse,adagrad,120
20,0.009972571395337582,0.0,0.00997252855449915,0.0,softmax,1000,sigmoid,mse,adagrad,240
20,2.3053910732269287,0.10000000149011612,2.3064932823181152,0.10000000149011612,softmax,1000,sigmoid,categorical_crossentropy,adam,120
20,2.3056418895721436,0.09917999804019928,2.306408643722534,0.10000000149011612,softmax,1000,sigmoid,categorical_crossentropy,adam,240
20,2.581855535507202,0.10000000149011612,2.5716638565063477,0.10000000149011612,softmax,1000,sigmoid,categorical_crossentropy,adagrad,120
20,2.3912465572357178,0.10000000149011612,2.388160228729248,0.10000000149011612,softmax,1000,sigmoid,categorical_crossentropy,adagrad,240
20,0.008500159718096256,0.20090000331401825,0.008498136885464191,0.20029999315738678,softmax,2000,relu,mse,adam,120
20,0.00900357123464346,0.09984000027179718,0.009003477171063423,0.10000000149011612,softmax,2000,relu,mse,adam,240
20,0.009900392964482307,0.01810000091791153,0.009900394827127457,0.017999999225139618,softmax,2000,relu,mse,adagrad,120
20,0.009900206699967384,0.0003800000122282654,0.009900206699967384,0.0003000000142492354,softmax,2000,relu,mse,adagrad,240
20,2.3043301105499268,0.09929999709129333,2.304886817932129,0.10000000149011612,softmax,2000,relu,categorical_crossentropy,adam,120
20,2.3041179180145264,0.1012599989771843,2.3049356937408447,0.10000000149011612,softmax,2000,relu,categorical_crossentropy,adam,240
20,4.496826171875,0.10000000149011612,4.494203567504883,0.10000000149011612,softmax,2000,relu,categorical_crossentropy,adagrad,120
20,4.480345249176025,0.10000000149011612,4.477267742156982,0.10000000149011612,softmax,2000,relu,categorical_crossentropy,adagrad,240
20,0.008528375066816807,0.20462000370025635,0.008556756190955639,0.18790000677108765,softmax,2000,sigmoid,mse,adam,120
20,0.008516139350831509,0.2038400024175644,0.008516967296600342,0.1996999979019165,softmax,2000,sigmoid,mse,adam,240
20,0.009939244017004967,0.0,0.00993923656642437,0.0,softmax,2000,sigmoid,mse,adagrad,120
20,0.010004743933677673,0.0,0.010004733689129353,0.0,softmax,2000,sigmoid,mse,adagrad,240
20,2.304947853088379,0.1004600003361702,2.3041980266571045,0.10000000149011612,softmax,2000,sigmoid,categorical_crossentropy,adam,120
20,2.3063130378723145,0.10090000182390213,2.304685592651367,0.10000000149011612,softmax,2000,sigmoid,categorical_crossentropy,adam,240
20,2.983666181564331,0.10000000149011612,2.9646964073181152,0.10000000149011612,softmax,2000,sigmoid,categorical_crossentropy,adagrad,120
20,2.548464775085449,0.10000000149011612,2.5393388271331787,0.10000000149011612,softmax,2000,sigmoid,categorical_crossentropy,adagrad,240
20,0.007974379695951939,0.3382599949836731,0.007927176542580128,0.34470000863075256,sigmoid,1000,relu,mse,adam,120
20,0.008177941665053368,0.2872999906539917,0.008160419762134552,0.28459998965263367,sigmoid,1000,relu,mse,adam,240
20,0.20266589522361755,0.0002800000074785203,0.2009739726781845,0.0003000000142492354,sigmoid,1000,relu,mse,adagrad,120
20,0.1625102311372757,0.0,0.15950487554073334,0.0,sigmoid,1000,relu,mse,adagrad,240
20,1.4187246561050415,0.49257999658584595,1.4541432857513428,0.4814000129699707,sigmoid,1000,relu,categorical_crossentropy,adam,120
20,1.3045355081558228,0.5335400104522705,1.4061200618743896,0.5,sigmoid,1000,relu,categorical_crossentropy,adam,240
20,2.2876179218292236,0.20160000026226044,2.2857508659362793,0.1882999986410141,sigmoid,1000,relu,categorical_crossentropy,adagrad,120
20,2.232027530670166,0.2523599863052368,2.22908878326416,0.24660000205039978,sigmoid,1000,relu,categorical_crossentropy,adagrad,240
20,0.009032219648361206,0.09836000204086304,0.009030543267726898,0.10000000149011612,sigmoid,1000,sigmoid,mse,adam,120
20,0.009007974527776241,0.11497999727725983,0.009005500935018063,0.10000000149011612,sigmoid,1000,sigmoid,mse,adam,240
20,0.21390604972839355,0.0,0.212662011384964,0.0,sigmoid,1000,sigmoid,mse,adagrad,120
20,0.1593313366174698,0.0,0.15747027099132538,0.0,sigmoid,1000,sigmoid,mse,adagrad,240
20,1.5120571851730347,0.4552600085735321,1.531068205833435,0.4562999904155731,sigmoid,1000,sigmoid,categorical_crossentropy,adam,120
